[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,845: <2017-08-24 17:47:10,845019, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,850: <2017-08-24 17:47:10,849907, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,854: <2017-08-24 17:47:10,854294, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,860: <2017-08-24 17:47:10,859343, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,864: <2017-08-24 17:47:10,863858, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,868: <2017-08-24 17:47:10,868237, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,887: <2017-08-24 17:47:10,886803, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,901: <2017-08-24 17:47:10,901331, actuators, h, command>
[PiCamera @ picamera.py:126][DEBUG] 2017-08-24 17:47:10,905: frame #12
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,909: <2017-08-24 17:47:10,909463, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,917: <2017-08-24 17:47:10,917089, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,923: <2017-08-24 17:47:10,923576, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,929: <2017-08-24 17:47:10,928609, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,936: <2017-08-24 17:47:10,934130, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,942: <2017-08-24 17:47:10,942016, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,957: <2017-08-24 17:47:10,956809, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,961: <2017-08-24 17:47:10,960819, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,965: <2017-08-24 17:47:10,964375, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,971: <2017-08-24 17:47:10,970662, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,977: <2017-08-24 17:47:10,976715, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,981: <2017-08-24 17:47:10,981545, actuators, h, command>
[PiCamera @ picamera.py:126][DEBUG] 2017-08-24 17:47:10,997: frame #13
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,998: <2017-08-24 17:47:10,998031, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,003: <2017-08-24 17:47:11,002961, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,007: <2017-08-24 17:47:11,006610, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,011: <2017-08-24 17:47:11,011056, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,017: <2017-08-24 17:47:11,017260, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,025: <2017-08-24 17:47:11,024695, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,035: <2017-08-24 17:47:11,030714, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,041: <2017-08-24 17:47:11,040953, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,046: <2017-08-24 17:47:11,046338, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,051: <2017-08-24 17:47:11,050498, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,056: <2017-08-24 17:47:11,055878, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,061: <2017-08-24 17:47:11,060908, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,066: <2017-08-24 17:47:11,065482, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,087: <2017-08-24 17:47:11,087349, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,092: <2017-08-24 17:47:11,091589, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,100: <2017-08-24 17:47:11,100070, actuators, h, command>
[PiCamera @ picamera.py:126][DEBUG] 2017-08-24 17:47:11,104: frame #14
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,113: <2017-08-24 17:47:11,113487, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,118: <2017-08-24 17:47:11,118343, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,124: <2017-08-24 17:47:11,122565, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,137: <2017-08-24 17:47:11,136977, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,142: <2017-08-24 17:47:11,141430, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,146: <2017-08-24 17:47:11,146233, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,168: <2017-08-24 17:47:11,168177, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,179: <2017-08-24 17:47:11,178746, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,181: <2017-08-24 17:47:11,181158, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,186: <2017-08-24 17:47:11,186260, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,190: <2017-08-24 17:47:11,190067, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,195: <2017-08-24 17:47:11,194943, actuators, h, command>
[PiCamera @ picamera.py:126][DEBUG] 2017-08-24 17:47:11,199: frame #15
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,202: <2017-08-24 17:47:11,201949, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,206: <2017-08-24 17:47:11,206411, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,209: <2017-08-24 17:47:11,209509, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,212: <2017-08-24 17:47:11,212614, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,216: <2017-08-24 17:47:11,215698, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,219: <2017-08-24 17:47:11,218922, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,222: <2017-08-24 17:47:11,222141, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,228: <2017-08-24 17:47:11,227928, actuators, h, command>
[PiCamera @ picamera.py:126][DEBUG] 2017-08-24 17:47:11,242: frame #16
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,247: <2017-08-24 17:47:11,247422, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:11,256: <2017-08-24 17:47:11,255766, actuators, h, command>
